DEBUG (2): Paired with node 1.
DEBUG (3): Paired with node 4.
DEBUG (1): Paired with node 2.
DEBUG (4): Paired with node 3.
DEBUG (1): STANDING (45267, 1677).
DEBUG (3): FALLING (9909, 24640).
DEBUG (3): FALL ALARM (9909, 24640).
DEBUG (1): WALKING (9863, 1677).
DEBUG (3): STANDING (38284, 24640).
DEBUG (1): RUNNING (7676, 36952).
DEBUG (3): RUNNING (12793, 17897).
DEBUG (1): WALKING (51657, 36299).
DEBUG (3): FALLING (64249, 60498).
DEBUG (3): FALL ALARM (64249, 60498).
DEBUG (1): RUNNING (37798, 46336).
DEBUG (3): WALKING (19306, 11691).
DEBUG (1): WALKING (43847, 32281).
DEBUG (3): STANDING (7542, 10111).
DEBUG (1): RUNNING (49800, 35470).
DEBUG (3): RUNNING (61155, 59117).
DEBUG (1): RUNNING (13536, 41233).
DEBUG (3): WALKING (715, 46877).
DEBUG (1): WALKING (26265, 33857).
DEBUG (3): WALKING (21930, 34583).
DEBUG (1): WALKING (7608, 55063).
DEBUG (3): WALKING (34525, 4390).
DEBUG (1): STANDING (52008, 11736).
DEBUG (3): FALLING (42989, 19561).
DEBUG (3): FALL ALARM (42989, 19561).
